time,lat,lon,pre
1902-10-16,5.25,-73.75,73.5
1902-10-16,5.25,-73.25,69.0
1902-11-16,3.75,-74.75,245.90001
1902-11-16,3.75,-74.25,118.8
1902-11-16,3.75,-73.75,371.80002
1902-11-16,3.75,-73.25,161.6
1902-11-16,4.25,-74.75,194.7
1902-11-16,4.25,-74.25,94.3
1902-11-16,4.25,-73.75,200.40001
1902-11-16,4.25,-73.25,217.7
1902-11-16,4.75,-74.75,176.3
1902-11-16,4.75,-74.25,101.8
1902-11-16,4.75,-73.75,80.1
1902-11-16,4.75,-73.25,148.90001
1902-11-16,5.25,-74.75,235.2
1902-11-16,5.25,-74.25,180.40001
1902-11-16,5.25,-73.75,82.700005
1902-11-16,5.25,-73.25,69.6
1902-12-16,3.75,-74.75,70.9
1902-12-16,3.75,-74.25,20.0
1902-12-16,3.75,-73.75,100.9
1902-12-16,3.75,-73.25,30.300001
1902-12-16,4.25,-74.75,48.3
1902-12-16,4.25,-74.25,18.800001
1902-12-16,4.25,-73.75,47.9
1902-12-16,4.25,-73.25,38.2
1902-12-16,4.75,-74.75,43.2
1902-12-16,4.75,-74.25,24.800001
1902-12-16,4.75,-73.75,16.9
1902-12-16,4.75,-73.25,34.100002
1902-12-16,5.25,-74.75,58.5
1902-12-16,5.25,-74.25,50.0
1902-12-16,5.25,-73.75,15.6
1902-12-16,5.25,-73.25,12.5
1903-01-16,3.75,-74.75,68.8
1903-01-16,3.75,-74.25,30.0
1903-01-16,3.75,-73.75,67.0
1903-01-16,3.75,-73.25,25.6
1903-01-16,4.25,-74.75,59.9
1903-01-16,4.25,-74.25,24.4
1903-01-16,4.25,-73.75,59.8
1903-01-16,4.25,-73.25,20.5
1903-01-16,4.75,-74.75,48.3
1903-01-16,4.75,-74.25,38.7
1903-01-16,4.75,-73.75,18.300001
1903-01-16,4.75,-73.25,26.6
1903-01-16,5.25,-74.75,58.100002
1903-01-16,5.25,-74.25,70.700005
1903-01-16,5.25,-73.75,16.300001
1903-01-16,5.25,-73.25,8.900001
1903-02-15,3.75,-74.75,72.9
1903-02-15,3.75,-74.25,38.0
1903-02-15,3.75,-73.75,94.9
1903-02-15,3.75,-73.25,38.7
1903-02-15,4.25,-74.75,75.1
1903-02-15,4.25,-74.25,32.8
1903-02-15,4.25,-73.75,79.200005
1903-02-15,4.25,-73.25,58.0
1903-02-15,4.75,-74.75,67.5
1903-02-15,4.75,-74.25,57.5
1903-02-15,4.75,-73.75,27.800001
1903-02-15,4.75,-73.25,45.4
1903-02-15,5.25,-74.75,78.5
1903-02-15,5.25,-74.25,84.200005
1903-02-15,5.25,-73.75,23.6
1903-02-15,5.25,-73.25,13.2
1903-03-16,3.75,-74.75,64.6
1903-03-16,3.75,-74.25,37.8
1903-03-16,3.75,-73.75,107.1
1903-03-16,3.75,-73.25,63.100002
1903-03-16,4.25,-74.75,64.1
1903-03-16,4.25,-74.25,29.2
1903-03-16,4.25,-73.75,86.5
1903-03-16,4.25,-73.25,56.9
1903-03-16,4.75,-74.75,60.3
1903-03-16,4.75,-74.25,37.100002
1903-03-16,4.75,-73.75,26.4
1903-03-16,4.75,-73.25,55.3
1903-03-16,5.25,-74.75,75.700005
1903-03-16,5.25,-74.25,63.4
1903-03-16,5.25,-73.75,25.800001
1903-03-16,5.25,-73.25,17.6
1903-04-16,3.75,-74.75,173.1
1903-04-16,3.75,-74.25,114.1
1903-04-16,3.75,-73.75,449.1
1903-04-16,3.75,-73.25,267.4
1903-04-16,4.25,-74.75,192.6
1903-04-16,4.25,-74.25,98.4
1903-04-16,4.25,-73.75,284.6
1903-04-16,4.25,-73.25,308.0
1903-04-16,4.75,-74.75,156.5
1903-04-16,4.75,-74.25,110.6
1903-04-16,4.75,-73.75,100.700005
1903-04-16,4.75,-73.25,214.3
1903-04-16,5.25,-74.75,186.8
1903-04-16,5.25,-74.25,193.1
1903-04-16,5.25,-73.75,87.8
1903-04-16,5.25,-73.25,84.5
1903-05-16,3.75,-74.75,126.8
1903-05-16,3.75,-74.25,121.700005
1903-05-16,3.75,-73.75,427.2
1903-05-16,3.75,-73.25,270.4
1903-05-16,4.25,-74.75,166.2
1903-05-16,4.25,-74.25,99.5
1903-05-16,4.25,-73.75,359.9
1903-05-16,4.25,-73.25,324.1
1903-05-16,4.75,-74.75,134.3
1903-05-16,4.75,-74.25,105.200005
1903-05-16,4.75,-73.75,90.8
1903-05-16,4.75,-73.25,292.5
1903-05-16,5.25,-74.75,181.90001
1903-05-16,5.25,-74.25,179.7
1903-05-16,5.25,-73.75,65.700005
1903-05-16,5.25,-73.25,102.6
1903-06-16,3.75,-74.75,197.90001
1903-06-16,3.75,-74.25,299.6
1903-06-16,3.75,-73.75,1022.60004
1903-06-16,3.75,-73.25,636.5
1903-06-16,4.25,-74.75,228.0
1903-06-16,4.25,-74.25,225.1
1903-06-16,4.25,-73.75,1029.2001
1903-06-16,4.25,-73.25,780.10004
1903-06-16,4.75,-74.75,196.40001
1903-06-16,4.75,-74.25,159.5
1903-06-16,4.75,-73.75,239.3
1903-06-16,4.75,-73.25,843.2
1903-06-16,5.25,-74.75,246.7
1903-06-16,5.25,-74.25,256.6
1903-06-16,5.25,-73.75,141.5
1903-06-16,5.25,-73.25,287.6
1903-07-16,3.75,-74.75,23.5
1903-07-16,3.75,-74.25,50.8
1903-07-16,3.75,-73.75,154.0
1903-07-16,3.75,-73.25,108.1
1903-07-16,4.25,-74.75,21.5
1903-07-16,4.25,-74.25,34.7
1903-07-16,4.25,-73.75,184.6
1903-07-16,4.25,-73.25,120.9
1903-07-16,4.75,-74.75,19.5
1903-07-16,4.75,-74.25,18.1
1903-07-16,4.75,-73.75,38.4
1903-07-16,4.75,-73.25,142.40001
1903-07-16,5.25,-74.75,31.9
1903-07-16,5.25,-74.25,31.800001
1903-07-16,5.25,-73.75,20.5
1903-07-16,5.25,-73.25,56.0
1903-08-16,3.75,-74.75,184.2
1903-08-16,3.75,-74.25,327.2
1903-08-16,3.75,-73.75,1148.0
1903-08-16,3.75,-73.25,678.9
1903-08-16,4.25,-74.75,199.1
1903-08-16,4.25,-74.25,217.3
1903-08-16,4.25,-73.75,1145.9
1903-08-16,4.25,-73.25,762.5
1903-08-16,4.75,-74.75,177.0
1903-08-16,4.75,-74.25,147.40001
1903-08-16,4.75,-73.75,249.8
1903-08-16,4.75,-73.25,1007.7
1903-08-16,5.25,-74.75,287.5
1903-08-16,5.25,-74.25,284.2
1903-08-16,5.25,-73.75,154.40001
1903-08-16,5.25,-73.25,369.2
1903-09-16,3.75,-74.75,71.700005
1903-09-16,3.75,-74.25,74.5
1903-09-16,3.75,-73.75,286.5
1903-09-16,3.75,-73.25,183.7
1903-09-16,4.25,-74.75,93.5
1903-09-16,4.25,-74.25,56.2
1903-09-16,4.25,-73.75,222.2
1903-09-16,4.25,-73.25,195.8
1903-09-16,4.75,-74.75,86.700005
1903-09-16,4.75,-74.25,89.200005
1903-09-16,4.75,-73.75,52.9
1903-09-16,4.75,-73.25,210.0
1903-09-16,5.25,-74.75,135.1
1903-09-16,5.25,-74.25,128.40001
1903-09-16,5.25,-73.75,44.4
1903-09-16,5.25,-73.25,70.9
1903-10-16,3.75,-74.75,116.8
1903-10-16,3.75,-74.25,77.700005
1903-10-16,3.75,-73.75,234.1
1903-10-16,3.75,-73.25,145.2
1903-10-16,4.25,-74.75,120.3
1903-10-16,4.25,-74.25,65.6
1903-10-16,4.25,-73.75,150.6
1903-10-16,4.25,-73.25,166.1
1903-10-16,4.75,-74.75,111.700005
1903-10-16,4.75,-74.25,66.5
1903-10-16,4.75,-73.75,55.600002
1903-10-16,4.75,-73.25,123.200005
1903-10-16,5.25,-74.75,157.40001
1903-10-16,5.25,-74.25,115.700005
1903-10-16,5.25,-73.75,56.4
1903-10-16,5.25,-73.25,53.5
1903-11-16,3.75,-74.75,338.6
1903-11-16,3.75,-74.25,164.40001
1903-11-16,3.75,-73.75,513.9
1903-11-16,3.75,-73.25,221.40001
1903-11-16,4.25,-74.75,270.0
1903-11-16,4.25,-74.25,131.1
1903-11-16,4.25,-73.75,278.4
1903-11-16,4.25,-73.25,301.0
1903-11-16,4.75,-74.75,244.6
1903-11-16,4.75,-74.25,141.5
1903-11-16,4.75,-73.75,111.4
1903-11-16,4.75,-73.25,206.2
1903-11-16,5.25,-74.75,325.4
1903-11-16,5.25,-74.25,250.5
1903-11-16,5.25,-73.75,114.8
1903-11-16,5.25,-73.25,96.0
1903-12-16,3.75,-74.75,259.80002
1903-12-16,3.75,-74.25,75.4
1903-12-16,3.75,-73.75,378.0
1903-12-16,3.75,-73.25,107.700005
1903-12-16,4.25,-74.75,184.5
1903-12-16,4.25,-74.25,72.8
1903-12-16,4.25,-73.75,184.8
1903-12-16,4.25,-73.25,143.40001
1903-12-16,4.75,-74.75,165.8
1903-12-16,4.75,-74.25,96.1
1903-12-16,4.75,-73.75,65.5
1903-12-16,4.75,-73.25,129.1
1903-12-16,5.25,-74.75,220.40001
1903-12-16,5.25,-74.25,192.0
1903-12-16,5.25,-73.75,59.600002
1903-12-16,5.25,-73.25,46.2
1904-01-16,3.75,-74.75,105.1
1904-01-16,3.75,-74.25,46.3
1904-01-16,3.75,-73.75,103.1
1904-01-16,3.75,-73.25,38.9
1904-01-16,4.25,-74.75,92.6
1904-01-16,4.25,-74.25,37.9
1904-01-16,4.25,-73.75,92.6
1904-01-16,4.25,-73.25,31.6
1904-01-16,4.75,-74.75,74.700005
1904-01-16,4.75,-74.25,60.0
1904-01-16,4.75,-73.75,28.4
1904-01-16,4.75,-73.25,41.0
1904-01-16,5.25,-74.75,89.4
1904-01-16,5.25,-74.25,109.5
1904-01-16,5.25,-73.75,25.300001
1904-01-16,5.25,-73.25,13.7
1904-02-15,3.75,-74.75,123.1
1904-02-15,3.75,-74.25,64.8
1904-02-15,3.75,-73.75,161.40001
