lon,lat,time,pre,stn,spi_1,spi_3,spi_6,spi_9,spi_12
-73.75,3.75,1997-06-16,803.8,8.0,1.5020953162321644,1.0009602023293294,-0.11328827284976897,-0.04946407678263201,0.18753869286354075
-73.75,3.75,1997-07-16,254.7,8.0,-0.522821294200327,0.5767918084752032,-0.09606631408644394,-0.4366306941870282,-0.25326371213274207
-73.75,3.75,1997-08-16,162.2,8.0,-1.1352592253088614,0.14853203896572792,-0.012946170916724491,-0.8489996150817624,-0.6437873719712318
-73.75,3.75,1997-09-16,396.7,8.0,0.1666400196800494,-0.767220722391728,0.21676475518494223,-0.6860766482614586,-0.5775109500046566
-73.75,3.75,1997-10-16,261.0,8.0,-0.48725530018103297,-0.7508889951434743,-0.16947610336897093,-0.6604880782545598,-0.9473362662217685
-73.75,3.75,1997-11-16,332.5,8.0,-0.11980993196439108,-0.33873688264206486,-0.26667212827753634,-0.335223631975984,-1.0984406415322059
-73.75,3.75,1997-12-16,70.200005,8.0,-2.0901199328461466,-1.1847058107133028,-1.6404052410137113,-0.5922651407472395,-1.4181010637892688
-73.75,3.75,1998-01-16,40.7,8.0,-2.616370210942161,-1.941216794709087,-2.1290556660788083,-1.3224323985726345,-1.7260351139135968
-73.75,3.75,1998-02-15,150.7,8.0,-1.2277661961703807,-2.812881194977418,-2.156910664487975,-1.7331620427002101,-1.662806514084708
-73.75,3.75,1998-03-16,342.0,8.0,-0.07519612419807593,-1.6054543411769502,-2.2919312670316785,-2.603176684604048,-1.5188118811221112
-73.75,3.75,1998-04-16,528.3,8.0,0.6689293079157981,-0.26947583365652744,-1.6684066328909024,-2.072836466899839,-1.489654338526519
-73.75,3.75,1998-05-16,782.8,8.0,1.4457073449256832,0.9180492907295222,-0.7770601378536132,-1.0151214626020697,-0.9233229167977245
-73.75,3.75,1998-06-16,482.30002,8.0,0.503861212952618,1.1389167607927733,-0.07953222207936671,-0.8817763837722398,-1.3866296045663078
-73.75,3.75,1998-07-16,733.8,8.0,1.3103141456713754,1.443151702585448,0.926879270284079,-0.18827537527788996,-0.7051011685597255
-73.75,3.75,1998-08-16,492.0,8.0,0.5395006348423875,1.0060281335896444,1.3669253935044219,0.03124504564643947,-0.2653535234573877
-73.75,3.75,1998-09-16,577.60004,8.0,0.8357393374189941,1.154226362041769,1.6539931001937955,0.6894664152887559,-0.033047002579403864
-73.75,3.75,1998-10-16,501.1,8.0,0.5725188381061652,0.7826063297218142,1.621484197467819,1.2419315513780247,0.2664158920183434
-73.75,3.75,1998-11-16,493.2,8.0,0.543877524616127,0.7846117547606704,1.264971202901759,1.6297901328337598,0.461577426273823
-73.75,3.75,1998-12-16,437.0,8.0,0.330852506346148,0.5424813198113558,1.207378354482008,1.7342483008041354,0.8925159039220912
-73.75,3.75,1999-01-16,153.7,8.0,-1.2031550194903158,-0.1323030045801455,0.4181271388035224,1.314543470038688,1.0214796917964593
-73.75,3.75,1999-02-15,359.1,8.0,0.003039880100361923,-0.4318397348227619,0.22158157965231737,0.8122902858372788,1.2549585145872966
-73.75,3.75,1999-03-16,249.0,8.0,-0.5555302345886077,-0.9049328024024957,-0.295992038386481,0.521477743839168,1.1514498698572244
-73.75,3.75,1999-04-16,545.4,8.0,0.7278919649819763,0.013369722850291706,-0.22331322073965,0.27832405406465616,1.1705630288292053
-73.75,3.75,1999-05-16,467.9,8.0,0.4500731957054325,0.22973209248014043,-0.26470076765881595,0.2466484970282417,0.8124521908343028
-73.75,3.75,1999-06-16,749.9,8.0,1.355414731953685,1.0923452090849572,0.22654407322096534,0.470242277516501,1.1176022942603416
-73.75,3.75,1999-07-16,322.0,8.0,-0.1701384404660938,0.7306212886549038,0.4741305459550323,0.23768600100405915,0.6439366724966572
-73.75,3.75,1999-08-16,454.80002,8.0,0.4001852126414947,0.7083767530142787,0.6103738747245231,0.18687661776685344,0.599977287798977
-73.75,3.75,1999-09-16,847.9,8.0,1.6175650532468986,0.8718745798470683,1.4001005565995435,0.7136657708242599,0.914891940657801
-73.75,3.75,1999-10-16,692.10004,8.0,1.1905027167216724,1.4372831119929004,1.5794167561538641,1.354213224409649,1.131401303947241
-73.75,3.75,1999-11-16,508.1,8.0,0.5976510474081336,1.512984027448008,1.6277117115744455,1.522895549861003,1.148092760925143
-73.75,3.75,1999-12-16,356.9,8.0,-0.006882580107005929,0.75980939290524,1.139454055776734,1.6429465445882796,1.0580314501674892
-73.75,3.75,2000-01-16,130.8,8.0,-1.4007503584242977,-0.3260365896861427,0.8876169400395854,1.1718241118538189,1.0321306775428791
-73.75,3.75,2000-02-15,338.1,8.0,-0.09340829577002632,-0.7356726780903177,0.7286843331972573,1.018559162637517,1.0083191428412825
-73.75,3.75,2000-03-16,349.4,8.0,-0.04102248415111444,-0.7550283782123056,-0.002917093148633735,0.5260492154093169,1.121643422891148
-73.75,3.75,2000-04-16,373.4,8.0,0.06655755843098128,-0.18182265270304845,-0.5261765305759687,0.5910256718451763,0.926691426086685
-73.75,3.75,2000-05-16,648.4,8.0,1.059899754535846,0.4342053914438331,-0.2895546094669787,0.8309889442331267,1.1311771311841174
-73.75,3.75,2000-06-16,532.4,8.0,0.6831786683158159,0.7549314298284511,-0.007459543439142597,0.43602250444628954,0.8842395175919804
-73.75,3.75,2000-07-16,653.4,8.0,1.0751226277647412,1.201038166612328,0.7578673128273329,0.38614787378353466,1.2580574350447946
-73.75,3.75,2000-08-16,407.2,8.0,0.21045745888625028,0.819709329989487,0.8520239555994059,0.25454658925758294,1.2052309946527142
-73.75,3.75,2000-09-16,641.3,8.0,1.0381533643368344,0.9962036329354332,1.2346504508291622,0.6197988893603771,0.9726054794747481
-73.75,3.75,2000-10-16,383.7,8.0,0.11130177679926574,0.5440797249343542,1.2477352931033074,0.9306944558746872,0.6146532776287595
-73.75,3.75,2000-11-16,313.5,8.0,-0.21170500779763501,0.37397314188299935,0.8076481413370942,0.9009868916671264,0.38167320217571493
-73.75,3.75,2000-12-16,226.2,8.0,-0.6918461159981766,-0.49414501369418573,0.3753660397249089,0.7505028914474003,0.22188407805191157
-73.75,3.75,2001-01-16,81.700005,6.0,-1.9317138022502807,-1.314331835921309,-0.5315264332532642,0.38213883122940867,0.16113861181645822
-73.75,3.75,2001-02-15,79.6,6.0,-1.9593124773680062,-2.1754666181258413,-1.1308807404125432,-0.3927880188232019,-0.16548268916726103
-73.75,3.75,2001-03-16,359.2,6.0,0.003489950701562665,-1.6509469637115555,-1.7132599078611825,-0.6463126216056141,-0.152884048767111
-73.75,3.75,2001-04-16,291.5,6.0,-0.322989416264707,-0.991879685652163,-1.9206716402601,-1.2082469343142905,-0.2587212703086832
-73.75,3.75,2001-05-16,608.2,7.0,0.934678213015169,0.22316282918692223,-1.2881062574767579,-0.8904205438837036,-0.31113061204930864
-73.75,3.75,2001-06-16,579.8,6.0,0.8429638773016297,0.6271756883031909,-0.6248995469814796,-0.986078851318498,-0.24936721688324806
-73.75,3.75,2001-07-16,479.6,7.0,0.49385722191465997,0.9414258085895096,0.032198299153619186,-0.8374956162780633,-0.4779575789337778
-73.75,3.75,2001-08-16,226.5,7.0,-0.6899914225864704,0.27500826498088177,0.2562294314552793,-0.9721515385524833,-0.7220724662212796
-73.75,3.75,2001-09-16,414.6,7.0,0.24088738171360322,-0.05452301828260699,0.33848246625370193,-0.6838275580933697,-1.0383862447908543
-73.75,3.75,2001-10-16,381.2,6.0,0.10051634913422196,-0.2665838914281831,0.4692316233589509,-0.24875123386857634,-1.0419407088980448
-73.75,3.75,2001-11-16,415.6,7.0,0.24497170745641436,0.13012800037851888,0.1847535648619873,0.20994295993106013,-0.8979767055519392
-73.75,3.75,2001-12-16,470.9,6.0,0.46136796246288786,0.24014116102662122,0.017398376798530263,0.3563512571559257,-0.5624307732953546
-73.75,3.75,2002-01-16,44.8,6.0,-2.5281649911054855,-0.475374863230823,-0.7071100023112301,0.029075498458291306,-0.6122095128325513
-73.75,3.75,2002-02-15,68.4,6.0,-2.1166796517455047,-1.4339056203441796,-0.997624662610754,-0.7429790046642147,-0.6273747199888519
-73.75,3.75,2002-03-16,432.7,5.0,0.3138241079733498,-1.5621158281544991,-0.9635019371796785,-0.969026098896966,-0.5283300104003369
-73.75,3.75,2002-04-16,703.8,6.0,1.2245716848296837,0.1172087066297211,-0.3908070126966384,-0.6274073536109045,0.007685096464184555
