time,longitude,latitude,tp
1997-06-01,-73.7,4.6,8.135937
1997-07-01,-73.7,4.6,12.430787
1997-08-01,-73.7,4.6,7.3277802
1997-09-01,-73.7,4.6,7.214263
1997-10-01,-73.7,4.6,7.4115696
1997-11-01,-73.7,4.6,7.8602433
1997-12-01,-73.7,4.6,2.9923842
1998-01-01,-73.7,4.6,5.1060243
1998-02-01,-73.7,4.6,6.406106
1998-03-01,-73.7,4.6,10.571219
1998-04-01,-73.7,4.6,15.898563
1998-05-01,-73.7,4.6,12.8389225
1998-06-01,-73.7,4.6,11.265852
1998-07-01,-73.7,4.6,10.655008
1998-08-01,-73.7,4.6,6.0358124
1998-09-01,-73.7,4.6,6.238528
1998-10-01,-73.7,4.6,9.195462
1998-11-01,-73.7,4.6,8.75219
1998-12-01,-73.7,4.6,9.290062
1999-01-01,-73.7,4.6,11.006377
1999-02-01,-73.7,4.6,11.749662
1999-03-01,-73.7,4.6,9.514399
1999-04-01,-73.7,4.6,16.968899
1999-05-01,-73.7,4.6,7.930517
1999-06-01,-73.7,4.6,8.987337
1999-07-01,-73.7,4.6,9.084642
1999-08-01,-73.7,4.6,9.679273
1999-09-01,-73.7,4.6,9.230598
1999-10-01,-73.7,4.6,10.792851
1999-11-01,-73.7,4.6,9.327896
1999-12-01,-73.7,4.6,9.711705
2000-01-01,-73.7,4.6,9.368442
2000-02-01,-73.7,4.6,8.438654
2000-03-01,-73.7,4.6,7.6818542
2000-04-01,-73.7,4.6,10.895557
2000-05-01,-73.7,4.6,11.376672
2000-06-01,-73.7,4.6,10.638788
2000-07-01,-73.7,4.6,10.422558
2000-08-01,-73.7,4.6,6.3142033
2000-09-01,-73.7,4.6,8.349463
2000-10-01,-73.7,4.6,7.765643
2000-11-01,-73.7,4.6,8.07377
2000-12-01,-73.7,4.6,7.2764235
2001-01-01,-73.7,4.6,2.7599409
2001-02-01,-73.7,4.6,4.878983
2001-03-01,-73.7,4.6,9.022474
2001-04-01,-73.7,4.6,9.881989
2001-05-01,-73.7,4.6,9.522505
2001-06-01,-73.7,4.6,10.430672
2001-07-01,-73.7,4.6,8.460283
2001-08-01,-73.7,4.6,9.508989
2001-09-01,-73.7,4.6,7.362917
2001-10-01,-73.7,4.6,8.830569
2001-11-01,-73.7,4.6,7.203452
2001-12-01,-73.7,4.6,8.876525
2002-01-01,-73.7,4.6,4.387066
2002-02-01,-73.7,4.6,5.7520123
2002-03-01,-73.7,4.6,8.279189
2002-04-01,-73.7,4.6,14.655248
2002-05-01,-73.7,4.6,11.728041
2002-06-01,-73.7,4.6,16.574278
2002-07-01,-73.7,4.6,9.754949
2002-08-01,-73.7,4.6,8.2494545
2002-09-01,-73.7,4.6,6.652065
2002-10-01,-73.7,4.6,7.8602433
2002-11-01,-73.7,4.6,6.4196215
2002-12-01,-73.7,4.6,4.600592
2003-01-01,-73.7,4.6,2.9248147
2003-02-01,-73.7,4.6,6.7574754
2003-03-01,-73.7,4.6,9.833336
2003-04-01,-73.7,4.6,11.4253235
2003-05-01,-73.7,4.6,10.963135
2003-06-01,-73.7,4.6,10.879345
2003-07-01,-73.7,4.6,12.928113
2003-08-01,-73.7,4.6,8.895442
2003-09-01,-73.7,4.6,8.55758
