lon,lat,time,pre,stn,spi_1,spi_3
-74.25,4.75,1980-10-16,107.4,8.0,0.27236809315429145,0.38328771034938064
-74.25,4.75,1980-11-16,71.9,8.0,-0.4533153979872054,0.4248204664625555
-74.25,4.75,1980-12-16,82.3,8.0,-0.2194327464657508,-0.36393233780236606
-74.25,4.75,1981-01-16,23.300001,8.0,-2.0810153338449187,-1.3720437078081362
-74.25,4.75,1981-02-15,82.8,8.0,-0.20870957130246337,-1.2249094781351237
-74.25,4.75,1981-03-16,47.8,8.0,-1.103856206112103,-1.7137638983685228
-74.25,4.75,1981-04-16,197.3,8.0,1.5793205906555194,0.2836636349580069
-74.25,4.75,1981-05-16,273.80002,8.0,2.413240781152714,1.7636163699017766
-74.25,4.75,1981-06-16,112.700005,8.0,0.36609514297023393,2.1841846517862926
-74.25,4.75,1981-07-16,47.2,8.0,-1.1227551929911714,1.1568563724875238
-74.25,4.75,1981-08-16,85.0,8.0,-0.1620429733511667,-0.5442064784717616
-74.25,4.75,1981-09-16,107.5,8.0,0.27416458138661476,-0.6020401197690011
-74.25,4.75,1981-10-16,145.8,8.0,0.8942313285706281,0.37706936930257573
-74.25,4.75,1981-11-16,129.3,8.0,0.6420514451138953,0.7549918835470628
-74.25,4.75,1981-12-16,69.700005,8.0,-0.5057238950149497,0.43448661264061683
-74.25,4.75,1982-01-16,104.5,8.0,0.21977807242594372,0.05651240895992827
-74.25,4.75,1982-02-15,121.200005,8.0,0.510508179443378,-0.0215803172750534
-74.25,4.75,1982-03-16,105.700005,8.0,0.241655814127345,0.3153147487420126
-74.25,4.75,1982-04-16,226.3,8.0,1.9158255235104362,1.3020751522181602
-74.25,4.75,1982-05-16,163.40001,8.0,1.1436138150727175,1.6030843464324982
-74.25,4.75,1982-06-16,45.8,8.0,-1.1675280050367753,1.1704359054605926
-74.25,4.75,1982-07-16,35.600002,8.0,-1.5276135919281257,-0.5453107244093333
-74.25,4.75,1982-08-16,29.6,8.0,-1.7761106915008769,-2.445181059760908
-74.25,4.75,1982-09-16,93.3,8.0,0.006999056016827476,-1.6444007975797217
-74.25,4.75,1982-10-16,143.2,8.0,0.8557703859316853,-0.31669503864681464
-74.25,4.75,1982-11-16,108.1,8.0,0.28492040550022235,0.43273048450495183
-74.25,4.75,1982-12-16,68.3,8.0,-0.5396710222570432,0.2076973247820964
-74.25,5.25,1980-01-16,122.6,8.0,-0.4799400165997548,
-74.25,5.25,1980-02-15,168.2,8.0,0.1061942555145967,
-74.25,5.25,1980-03-16,86.0,8.0,-1.0718864568602753,-0.8119347590920893
-74.25,5.25,1980-04-16,189.0,8.0,0.3380732702832093,-0.37412622359250414
-74.25,5.25,1980-05-16,178.8,8.0,0.22660945781734673,-0.30844862040240045
-74.25,5.25,1980-06-16,200.1,8.0,0.4549336456538979,0.3408593620138249
-74.25,5.25,1980-07-16,73.3,8.0,-1.3189886638101802,-0.31829518812999763
-74.25,5.25,1980-08-16,127.700005,8.0,-0.4076807869258107,-0.6460302007991636
-74.25,5.25,1980-09-16,240.1,8.0,0.8437979659721428,-0.3872635291960315
-74.25,5.25,1980-10-16,189.90001,8.0,0.3477149904047228,0.2865712512743173
-74.25,5.25,1980-11-16,125.8,8.0,-0.4343654722600676,0.27638592148334823
-74.25,5.25,1980-12-16,162.90001,8.0,0.04407706826914301,-0.15873179652502162
-74.25,5.25,1981-01-16,42.8,8.0,-2.075233928042182,-1.1419829963489674
-74.25,5.25,1981-02-15,123.0,8.0,-0.47419884771722454,-1.1633817242513214
-74.25,5.25,1981-03-16,80.6,8.0,-1.1735444442152616,-1.8588714089774234
-74.25,5.25,1981-04-16,345.4,8.0,1.699038719230947,0.23974342418075306
-74.25,5.25,1981-05-16,467.80002,8.0,2.5059021656264253,1.8162259804694783
-74.25,5.25,1981-06-16,181.90001,8.0,0.2609227977893941,2.2017658707434067
-74.25,5.25,1981-07-16,83.4,8.0,-1.1202494181831626,1.1425369118832498
-74.25,5.25,1981-08-16,161.90001,8.0,0.032205457151725916,-0.4753066025137418
-74.25,5.25,1981-09-16,156.90001,8.0,-0.027903318186055563,-0.6386848641575991
-74.25,5.25,1981-10-16,254.1,8.0,0.9698524851935558,0.36723548589962846
-74.25,5.25,1981-11-16,229.6,8.0,0.7460921191004478,0.7102890192095822
-74.25,5.25,1981-12-16,138.2,8.0,-0.2649085822685497,0.6180179694847148
-74.25,5.25,1982-01-16,183.40001,8.0,0.2773865543498791,0.25163125874520775
-74.25,5.25,1982-02-15,180.7,8.0,0.2476865828713802,-0.020454408395754336
-74.25,5.25,1982-03-16,182.1,8.0,0.2631231303881051,0.22456765074338203
-74.25,5.25,1982-04-16,389.5,8.0,2.007636708554241,1.2277425439941005
-74.25,5.25,1982-05-16,278.4,8.0,1.1784080775465542,1.6408918248286373
-74.25,5.25,1982-06-16,75.9,8.0,-1.2660469922440587,1.1901973003245736
-74.25,5.25,1982-07-16,63.8,8.0,-1.5247469844718942,-0.5340046159591971
-74.25,5.25,1982-08-16,59.9,8.0,-1.615668269467585,-2.3314957498305104
-74.25,5.25,1982-09-16,136.2,8.0,-0.29151816542798165,-1.7345849662248236
-74.25,5.25,1982-10-16,249.2,8.0,0.9262567161073758,-0.3610309639446133
-74.25,5.25,1982-11-16,188.90001,8.0,0.3370002016860196,0.3745933335329118
-74.25,5.25,1982-12-16,133.8,8.0,-0.3238033032624577,0.36197258934259136
-73.75,3.75,1980-01-16,106.9,8.0,-1.586585158477084,
-73.75,3.75,1980-02-15,217.6,8.0,-0.70202093318176,
-73.75,3.75,1980-03-16,112.1,8.0,-1.5326461468611026,-1.8872778415410778
-73.75,3.75,1980-04-16,400.2,8.0,0.219661423761496,-0.947733983526754
-73.75,3.75,1980-05-16,331.9,8.0,-0.08262536936745471,-0.6546623875028947
-73.75,3.75,1980-06-16,748.2,8.0,1.3830527592579984,0.6139253003076123
-73.75,3.75,1980-07-16,304.9,8.0,-0.21375985364167796,0.45095494976667955
-73.75,3.75,1980-08-16,499.2,8.0,0.6019323929300849,0.7325378171666085
-73.75,3.75,1980-09-16,435.7,8.0,0.3632623494271409,0.18775573161681486
-73.75,3.75,1980-10-16,407.7,8.0,0.25068484326682017,0.3760677503901376
-73.75,3.75,1980-11-16,275.30002,8.0,-0.3669814541944211,-0.04794432765872127
-73.75,3.75,1980-12-16,339.30002,8.0,-0.04795679262198476,-0.24814208014610398
-73.75,3.75,1981-01-16,36.100002,8.0,-2.666304574288822,-1.1701213577658482
-73.75,3.75,1981-02-15,141.90001,8.0,-1.2547359703782637,-1.5923972431530236
-73.75,3.75,1981-03-16,167.8,8.0,-1.0459718852943205,-2.2709746233772083
-73.75,3.75,1981-04-16,764.0,8.0,1.4265761808248731,-0.13988704625744827
-73.75,3.75,1981-05-16,1104.7001,8.0,2.2535605091019626,1.4498782053648835
-73.75,3.75,1981-06-16,667.3,8.0,1.1505484069926604,2.083009985137035
-73.75,3.75,1981-07-16,399.7,8.0,0.21757946562808927,1.630160603180416
-73.75,3.75,1981-08-16,627.0,8.0,1.0279802397423965,0.955881731769047
-73.75,3.75,1981-09-16,396.2,8.0,0.2029568919426539,0.5166242850110379
-73.75,3.75,1981-10-16,440.80002,8.0,0.38324693869975207,0.5865502929801283
-73.75,3.75,1981-11-16,483.9,8.0,0.5463394405192727,0.3371348216316821
-73.75,3.75,1981-12-16,284.4,8.0,-0.3187212291147004,0.1295135415129528
-73.75,3.75,1982-01-16,175.0,8.0,-0.9921008494597624,-0.42196084719608645
-73.75,3.75,1982-02-15,213.7,8.0,-0.7268114243428293,-1.1053855405422892
-73.75,3.75,1982-03-16,361.5,8.0,0.053076811167100016,-0.8934688744113205
-73.75,3.75,1982-04-16,1003.4,8.0,2.0265572508952383,0.774966167597329
-73.75,3.75,1982-05-16,610.8,8.0,0.9772872811126063,1.3663117854999172
-73.75,3.75,1982-06-16,275.7,8.0,-0.3648372764599647,1.2455338198050832
-73.75,3.75,1982-07-16,244.7,8.0,-0.5378240504038178,-0.022847509580752892
-73.75,3.75,1982-08-16,213.1,8.0,-0.7306534466798333,-0.9380347174005204
-73.75,3.75,1982-09-16,301.30002,8.0,-0.23183473295462062,-0.8699993540579088
-73.75,3.75,1982-10-16,498.0,8.0,0.5976127790287317,-0.2694132927624728
-73.75,3.75,1982-11-16,371.7,8.0,0.09809937993906714,0.05584352924512594
-73.75,3.75,1982-12-16,279.5,8.0,-0.344573345182585,0.012967399249131524
-73.75,4.25,1980-01-16,86.200005,8.0,-1.4979354077603715,
-73.75,4.25,1980-02-15,164.0,8.0,-0.7579926493130318,
-73.75,4.25,1980-03-16,118.1,8.0,-1.1519382585156313,-1.5569654842547607
-73.75,4.25,1980-04-16,283.80002,8.0,-0.008195813990188941,-0.8927959957135684
-73.75,4.25,1980-05-16,355.30002,8.0,0.338802676683684,-0.3919103609147448
-73.75,4.25,1980-06-16,828.0,8.0,1.9192747041072835,0.9371106776880741
-73.75,4.25,1980-07-16,428.30002,8.0,0.6480313101035039,1.151525672034339
-73.75,4.25,1980-08-16,530.3,8.0,1.0270895425299806,1.3952840561893707
-73.75,4.25,1980-09-16,357.9,8.0,0.35050283142600536,0.698561938845583
-73.75,4.25,1980-10-16,282.7,8.0,-0.013971117774952396,0.450334138358782
-73.75,4.25,1980-11-16,145.7,8.0,-0.9041906357609449,-0.32366697967732433
-73.75,4.25,1980-12-16,162.1,8.0,-0.7726147354336793,-0.8223551461744181
-73.75,4.25,1981-01-16,34.4,8.0,-2.3675633238849723,-1.6628014020362674
-73.75,4.25,1981-02-15,190.1,8.0,-0.568266946169831,-1.4859657793519634
-73.75,4.25,1981-03-16,122.9,8.0,-1.1060449606749159,-1.641257663338371
-73.75,4.25,1981-04-16,490.5,8.0,0.8853144354044848,-0.2841377298708411
-73.75,4.25,1981-05-16,907.5,8.0,2.122208360614509,1.0184671228987916
-73.75,4.25,1981-06-16,698.4,8.0,1.5608368444446061,1.7920292769908095
-73.75,4.25,1981-07-16,436.6,8.0,0.6809358127758511,1.7257959549411446
-73.75,4.25,1981-08-16,676.10004,8.0,1.4950764366492462,1.4281762757425818
-73.75,4.25,1981-09-16,294.2,8.0,0.045673760725818045,0.8437549146551793
-73.75,4.25,1981-10-16,329.9,8.0,0.2213884713006366,0.6716966475415521
-73.75,4.25,1981-11-16,226.1,8.0,-0.3344333599659463,-0.17963621631225318
-73.75,4.25,1981-12-16,127.3,8.0,-1.0651042123630703,-0.5736977910023154
-73.75,4.25,1982-01-16,125.5,8.0,-1.0817269559641711,-1.1606999216188718
-73.75,4.25,1982-02-15,172.0,8.0,-0.6977084333198136,-1.345237711415065
-73.75,4.25,1982-03-16,267.6,8.0,-0.09483470636005793,-0.895122689845751
-73.75,4.25,1982-04-16,663.9,8.0,1.458523045826905,0.32850979405072006
-73.75,4.25,1982-05-16,505.1,8.0,0.938152530786031,0.8901290679044279
-73.75,4.25,1982-06-16,293.30002,8.0,0.04106327770990909,0.9297590181420039
-73.75,4.25,1982-07-16,337.0,8.0,0.2547978100649529,0.38676407501643123
-73.75,4.25,1982-08-16,262.0,8.0,-0.12561096932730728,-0.08871260938786901
-73.75,4.25,1982-09-16,244.2,8.0,-0.2265177969605362,-0.19504763249594387
-73.75,4.25,1982-10-16,329.80002,8.0,0.2209146244206507,-0.21099044584990298
-73.75,4.25,1982-11-16,206.8,8.0,-0.45628319900087566,-0.3364314985843854
-73.75,4.25,1982-12-16,128.90001,8.0,-1.0504704754340672,-0.6194911899360113
-73.75,4.75,1980-01-16,25.5,8.0,-1.6374070118786455,
-73.75,4.75,1980-02-15,49.7,8.0,-0.77955748743549,
-73.75,4.75,1980-03-16,38.7,8.0,-1.119972836323536,-1.8020085949630815
